,mean,std,nx_dx
388,-0.9586492,0.98199576,1380.0
389,-0.948394,0.97629446,1390.0
390,-0.93736976,0.97142285,1400.0
391,-0.9267493,0.96790844,1410.0
392,-0.9176264,0.9648342,1420.0
393,-0.910094,0.96181977,1430.0
394,-0.9034016,0.95813864,1440.0
395,-0.8969817,0.9536847,1450.0
396,-0.89043725,0.9497807,1460.0
397,-0.8833016,0.946712,1470.0
398,-0.87532103,0.944311,1480.0
399,-0.86653346,0.942154,1490.0
400,-0.8575199,0.9386654,1500.0
401,-0.84919095,0.9338877,1510.0
402,-0.8418643,0.9295532,1520.0
403,-0.83539045,0.9258946,1530.0
404,-0.82960206,0.9230266,1540.0
405,-0.8241605,0.9215547,1550.0
406,-0.81871784,0.9212135,1560.0
407,-0.812615,0.9202655,1570.0
408,-0.80526805,0.9167453,1580.0
409,-0.7971579,0.91117185,1590.0
410,-0.7888683,0.906113,1600.0
411,-0.7809184,0.90264577,1610.0
412,-0.77417433,0.90010816,1620.0
413,-0.76906013,0.89895487,1630.0
414,-0.765138,0.899642,1640.0
415,-0.7612988,0.9001176,1650.0
416,-0.75634515,0.8982849,1660.0
417,-0.7496293,0.89399284,1670.0
418,-0.7412382,0.88840437,1680.0
419,-0.7322673,0.8835487,1690.0
420,-0.72444004,0.8810009,1700.0
421,-0.7187968,0.880508,1710.0
422,-0.71522313,0.8813568,1720.0
423,-0.71266663,0.88182896,1730.0
424,-0.7096214,0.8799051,1740.0
425,-0.7047156,0.87587076,1750.0
426,-0.697614,0.8708512,1760.0
427,-0.68926483,0.86596787,1770.0
428,-0.6812843,0.8631377,1780.0
429,-0.67494774,0.8635492,1790.0
430,-0.67055553,0.8660847,1800.0
431,-0.6674243,0.86840636,1810.0
432,-0.66441596,0.8679736,1820.0
433,-0.6603626,0.8637748,1830.0
434,-0.6545418,0.8572238,1840.0
435,-0.6473558,0.8513301,1850.0
436,-0.6399879,0.8484661,1860.0
437,-0.63357526,0.84888834,1870.0
438,-0.6286924,0.85142195,1880.0
439,-0.6250805,0.85468805,1890.0
440,-0.62180305,0.85658276,1900.0
441,-0.61791116,0.85443026,1910.0
442,-0.6130328,0.8480176,1920.0
443,-0.60740095,0.84016645,1930.0
444,-0.6016337,0.8345226,1940.0
445,-0.59640545,0.833174,1950.0
446,-0.59192514,0.8345846,1960.0
447,-0.5880161,0.8368894,1970.0
448,-0.5843731,0.83976984,1980.0
449,-0.58034056,0.84125143,1990.0
450,-0.5754412,0.8389274,2000.0
451,-0.56991637,0.83312213,2010.0
452,-0.56456494,0.8260578,2020.0
453,-0.56014,0.820559,2030.0
454,-0.5565658,0.81874084,2040.0
455,-0.5533901,0.8196983,2050.0
456,-0.55045944,0.82192415,2060.0
457,-0.5472608,0.8251489,2070.0
458,-0.5429683,0.82766324,2080.0
459,-0.5374452,0.82672167,2090.0
460,-0.53152895,0.82190365,2100.0
461,-0.526545,0.8156354,2110.0
462,-0.52322084,0.8105982,2120.0
463,-0.52101487,0.80760103,2130.0
464,-0.51918596,0.8065188,2140.0
465,-0.51711625,0.80761313,2150.0
466,-0.51386267,0.81030345,2160.0
467,-0.5089755,0.8123624,2170.0
468,-0.5029728,0.81158507,2180.0
469,-0.4968824,0.80771285,2190.0
470,-0.4918744,0.8024399,2200.0
471,-0.48862424,0.79752195,2210.0
472,-0.48684835,0.7938411,2220.0
473,-0.48562795,0.79201925,2230.0
474,-0.4839283,0.79225105,2240.0
475,-0.481072,0.7937842,2250.0
476,-0.47698057,0.7950795,2260.0
477,-0.47191006,0.7945748,2270.0
478,-0.46640608,0.7916453,2280.0
479,-0.46136174,0.78686994,2290.0
480,-0.45749375,0.7818393,2300.0
481,-0.4549389,0.7782787,2310.0
482,-0.4533071,0.77693737,2320.0
483,-0.451914,0.77720934,2330.0
484,-0.45003688,0.7781553,2340.0
485,-0.44719756,0.7790976,2350.0
486,-0.4432061,0.77879226,2360.0
487,-0.4382961,0.7760737,2370.0
488,-0.43318003,0.7712914,2380.0
489,-0.42871842,0.76625127,2390.0
490,-0.42554432,0.762849,2400.0
491,-0.42375413,0.76173055,2410.0
492,-0.42275003,0.7621133,2420.0
493,-0.42171186,0.7627632,2430.0
494,-0.41996744,0.76297367,2440.0
495,-0.417099,0.7623983,2450.0
496,-0.41313785,0.76035905,2460.0
497,-0.40861592,0.75680983,2470.0
498,-0.4043234,0.75295013,2480.0
499,-0.40083078,0.74987245,2490.0
500,-0.39824075,0.7480472,2500.0
501,-0.3964048,0.7474544,2510.0
502,-0.39503556,0.74751747,2520.0
503,-0.39368582,0.7475131,2530.0
504,-0.39194664,0.74723727,2540.0
505,-0.38954854,0.7463122,2550.0
506,-0.38652068,0.7445414,2560.0
507,-0.38317,0.7422063,2570.0
508,-0.37968147,0.739147,2580.0
509,-0.37624803,0.7358652,2590.0
510,-0.3733101,0.7339476,2600.0
511,-0.37126592,0.7338317,2610.0
512,-0.37014493,0.7343928,2620.0
513,-0.36945203,0.7345132,2630.0
514,-0.36842933,0.7337689,2640.0
515,-0.36663732,0.7324041,2650.0
516,-0.36401314,0.7305824,2660.0
517,-0.3605666,0.72772676,2670.0
518,-0.35653895,0.72422373,2680.0
519,-0.35251826,0.7216885,2690.0
520,-0.34931368,0.7210211,2700.0
521,-0.3475552,0.7215757,2710.0
522,-0.3470696,0.7216325,2720.0
523,-0.34697765,0.7205807,2730.0
