,mean,std,nx_dx
197,-0.04343889,0.016630916,-530.0
198,-0.04461047,0.017054837,-520.0
199,-0.04581999,0.017559998,-510.0
200,-0.047055934,0.018145889,-500.0
201,-0.048310153,0.018763559,-490.0
202,-0.049594466,0.019288026,-480.0
203,-0.050945,0.019668369,-470.0
204,-0.052396238,0.019978939,-460.0
205,-0.0539602,0.020338321,-450.0
206,-0.05562701,0.020825503,-440.0
207,-0.05737923,0.02146214,-430.0
208,-0.05920772,0.022239998,-420.0
209,-0.06111109,0.023080762,-410.0
210,-0.06308048,0.02392866,-400.0
211,-0.065105714,0.024639005,-390.0
212,-0.067207284,0.025141345,-380.0
213,-0.06944182,0.025637202,-370.0
214,-0.07187002,0.026241329,-360.0
215,-0.07451795,0.027044645,-350.0
216,-0.07736258,0.028142778,-340.0
217,-0.08036524,0.029303797,-330.0
218,-0.08352077,0.030367387,-320.0
219,-0.08684367,0.031403046,-310.0
220,-0.09033142,0.032433406,-300.0
221,-0.09399946,0.033392534,-290.0
222,-0.09792786,0.03443028,-280.0
223,-0.10222261,0.03558575,-270.0
224,-0.10695305,0.036824558,-260.0
225,-0.11213295,0.038301867,-250.0
226,-0.11774208,0.039871793,-240.0
227,-0.12378736,0.041430388,-230.0
228,-0.13034196,0.04298974,-220.0
229,-0.13750271,0.04473168,-210.0
230,-0.14534727,0.04652373,-200.0
231,-0.15399425,0.04814286,-190.0
232,-0.16366598,0.04972218,-180.0
233,-0.17463572,0.051469028,-170.0
234,-0.18716094,0.053606976,-160.0
235,-0.20150791,0.05596285,-150.0
236,-0.21803133,0.058427114,-140.0
237,-0.23722108,0.061009258,-130.0
238,-0.25974137,0.06382078,-120.0
239,-0.28648373,0.06709557,-110.0
240,-0.3186662,0.07139209,-100.0
241,-0.35800147,0.07789944,-90.0
242,-0.40693036,0.08805491,-80.0
243,-0.4687503,0.10371959,-70.0
244,-0.54811484,0.12698981,-60.0
245,-0.65184015,0.16048132,-50.0
246,-0.79111564,0.20700017,-40.0
247,-0.98373675,0.2710467,-30.0
248,-1.2511024,0.3673501,-20.0
249,-1.5833565,0.505077,-10.0
250,-1.9168283,0.6415345,0.0
251,-2.1933904,0.729764,10.0
252,-2.401077,0.7735475,20.0
253,-2.5542636,0.7967119,30.0
254,-2.6690137,0.813813,40.0
255,-2.756578,0.8301408,50.0
256,-2.8243225,0.8476091,60.0
257,-2.8769796,0.86682063,70.0
258,-2.9175782,0.88740337,80.0
259,-2.9482698,0.90895474,90.0
260,-2.9708838,0.9318432,100.0
261,-2.9870572,0.95666486,110.0
262,-2.998155,0.9831557,120.0
263,-3.005321,1.0104321,130.0
264,-3.0093906,1.0379233,140.0
265,-3.0107768,1.065465,150.0
266,-3.0096128,1.0927374,160.0
267,-3.0058482,1.1192777,170.0
268,-2.999493,1.1451851,180.0
269,-2.990901,1.1705389,190.0
270,-2.9807942,1.1952688,200.0
271,-2.9699051,1.2193203,210.0
272,-2.9585767,1.2424328,220.0
273,-2.9467356,1.2645576,230.0
274,-2.9341936,1.2856743,240.0
275,-2.9208148,1.3057055,250.0
276,-2.9064808,1.3248003,260.0
277,-2.8911264,1.3428943,270.0
278,-2.8749213,1.359839,280.0
279,-2.8581703,1.3757071,290.0
280,-2.841044,1.3909177,300.0
281,-2.8237088,1.4057926,310.0
282,-2.8062873,1.4199702,320.0
283,-2.7887764,1.4331423,330.0
284,-2.7710311,1.4454094,340.0
285,-2.752873,1.4568862,350.0
286,-2.7343347,1.4677659,360.0
287,-2.7154732,1.478143,370.0
288,-2.6961892,1.4879079,380.0
289,-2.6765323,1.4969813,390.0
290,-2.6566904,1.5052587,400.0
291,-2.6367843,1.5127224,410.0
292,-2.6167626,1.5197004,420.0
293,-2.5965948,1.5264785,430.0
294,-2.5764658,1.5328925,440.0
295,-2.5565457,1.5386735,450.0
296,-2.53673,1.5437789,460.0
297,-2.5167603,1.5484087,470.0
298,-2.496327,1.5525943,480.0
299,-2.4752138,1.5558777,490.0
300,-2.453656,1.5581778,500.0
301,-2.432271,1.5601271,510.0
302,-2.4114707,1.5622025,520.0
303,-2.3910487,1.564192,530.0
304,-2.370536,1.5656234,540.0
305,-2.3497763,1.5661194,550.0
306,-2.3289757,1.5655977,560.0
307,-2.3082156,1.5644711,570.0
308,-2.2873597,1.5634335,580.0
309,-2.266243,1.5626786,590.0
310,-2.244796,1.5615625,600.0
311,-2.223142,1.5594158,610.0
312,-2.2016778,1.5560048,620.0
313,-2.1809042,1.5517333,630.0
314,-2.1608193,1.5474453,640.0
315,-2.1408353,1.5436845,650.0
316,-2.1204674,1.5404264,660.0
317,-2.0997324,1.5370432,670.0
318,-2.0787878,1.5328821,680.0
319,-2.057722,1.527693,690.0
320,-2.0367413,1.521378,700.0
321,-2.0160382,1.5141704,710.0
322,-1.9956903,1.5069073,720.0
323,-1.975738,1.500502,730.0
324,-1.9561125,1.4952072,740.0
325,-1.9364911,1.4902678,750.0
326,-1.9165812,1.4844979,760.0
327,-1.8964304,1.4771793,770.0
328,-1.8761207,1.4683456,780.0
329,-1.8557748,1.4589949,790.0
330,-1.8356372,1.4502914,800.0
331,-1.8160008,1.4426715,810.0
332,-1.7968951,1.4358709,820.0
333,-1.7781038,1.4292122,830.0
334,-1.7596408,1.4220252,840.0
335,-1.7414974,1.4139563,850.0
336,-1.723351,1.4049503,860.0
337,-1.7049029,1.3954229,870.0
338,-1.6861207,1.3859314,880.0
339,-1.6671939,1.3767091,890.0
340,-1.6484473,1.3681878,900.0
341,-1.6301508,1.3607564,910.0
342,-1.6126192,1.3538905,920.0
343,-1.5959274,1.3462728,930.0
344,-1.5796101,1.3370237,940.0
345,-1.5631874,1.3266279,950.0
346,-1.5464214,1.3161825,960.0
347,-1.5292743,1.3063741,970.0
348,-1.5119973,1.2973032,980.0
349,-1.4949703,1.2893288,990.0
350,-1.4784036,1.282429,1000.0
351,-1.4622029,1.275313,1010.0
352,-1.4463677,1.2667483,1020.0
353,-1.4311447,1.2569622,1030.0
354,-1.4164026,1.2471781,1040.0
355,-1.4016353,1.2377352,1050.0
356,-1.3866571,1.2281588,1060.0
357,-1.371717,1.2185843,1070.0
358,-1.3568877,1.2099515,1080.0
359,-1.3418567,1.202638,1090.0
360,-1.326507,1.1959568,1100.0
361,-1.3113369,1.1888723,1110.0
362,-1.2971013,1.1804982,1120.0
363,-1.2839916,1.1711733,1130.0
364,-1.2716067,1.1617355,1140.0
365,-1.2594936,1.1520531,1150.0
366,-1.2473549,1.1423327,1160.0
367,-1.2347835,1.1341405,1170.0
368,-1.2212796,1.128161,1180.0
369,-1.2068888,1.1233867,1190.0
370,-1.1926354,1.1180288,1200.0
371,-1.179455,1.110508,1210.0
372,-1.1675886,1.1009662,1220.0
373,-1.1567492,1.0909172,1230.0
374,-1.1461359,1.0809093,1240.0
375,-1.1352634,1.0712816,1250.0
376,-1.1240932,1.0633118,1260.0
377,-1.1123598,1.0579702,1270.0
378,-1.1001292,1.0546831,1280.0
379,-1.0878463,1.0513419,1290.0
380,-1.0760795,1.0454568,1300.0
381,-1.0654069,1.0365571,1310.0
382,-1.055714,1.0263797,1320.0
383,-1.04637,1.0165069,1330.0
384,-1.0369321,1.0076587,1340.0
385,-1.0271251,1.0007545,1350.0
386,-1.0166903,0.99699265,1360.0
387,-1.0059994,0.99553716,1370.0
388,-0.9958106,0.9937976,1380.0
389,-0.9863594,0.98926914,1390.0
390,-0.97750205,0.9816369,1400.0
391,-0.9689722,0.97197986,1410.0
392,-0.96039426,0.96133,1420.0
393,-0.9514987,0.9516699,1430.0
394,-0.94225043,0.9453581,1440.0
395,-0.9328672,0.94348013,1450.0
396,-0.9238379,0.9444252,1460.0
397,-0.915538,0.94474036,1470.0
398,-0.90800446,0.94217575,1480.0
399,-0.9010156,0.93660456,1490.0
400,-0.8941242,0.9281772,1500.0
401,-0.88675106,0.91752934,1510.0
402,-0.87870985,0.90725577,1520.0
403,-0.8703166,0.901129,1530.0
404,-0.86169773,0.90094054,1540.0
405,-0.8529611,0.90418166,1550.0
406,-0.8447399,0.90640473,1560.0
407,-0.8377075,0.9057927,1570.0
408,-0.83195186,0.9026617,1580.0
409,-0.8267506,0.8969248,1590.0
410,-0.82115567,0.88877827,1600.0
411,-0.8146974,0.8797699,1610.0
412,-0.807394,0.8728933,1620.0
413,-0.79929554,0.8710489,1630.0
414,-0.79070675,0.87364066,1640.0
415,-0.7824366,0.87694544,1650.0
416,-0.77517825,0.8785238,1660.0
417,-0.76928866,0.87759733,1670.0
418,-0.7646535,0.8736562,1680.0
419,-0.7605745,0.8676106,1690.0
420,-0.75618804,0.86123765,1700.0
421,-0.7506202,0.85585,1710.0
422,-0.7434075,0.8523638,1720.0
423,-0.73518693,0.8515652,1730.0
424,-0.72720426,0.8535605,1740.0
425,-0.7201762,0.8566582,1750.0
426,-0.7142608,0.85784155,1760.0
427,-0.70965445,0.8560017,1770.0
428,-0.7062668,0.85263324,1780.0
429,-0.7030939,0.849257,1790.0
430,-0.69864315,0.84610724,1800.0
431,-0.69217676,0.84260267,1810.0
432,-0.6842948,0.8388615,1820.0
433,-0.6764676,0.83690196,1830.0
434,-0.6699194,0.83863246,1840.0
435,-0.6646873,0.8421844,1850.0
436,-0.6604837,0.8438446,1860.0
437,-0.65733254,0.84323514,1870.0
438,-0.65478736,0.8421466,1880.0
439,-0.6517437,0.8409466,1890.0
440,-0.6469139,0.83859897,1900.0
441,-0.6400842,0.8344375,1910.0
442,-0.63253134,0.8302133,1920.0
443,-0.62589437,0.8294651,1930.0
444,-0.6209591,0.8328326,1940.0
445,-0.6174644,0.836639,1950.0
446,-0.6149795,0.838199,1960.0
447,-0.61308527,0.8387552,1970.0
448,-0.61068094,0.83964276,1980.0
449,-0.6063484,0.83939123,1990.0
450,-0.5998449,0.83645886,2000.0
451,-0.5924209,0.8318703,2010.0
452,-0.58578265,0.82894427,2020.0
453,-0.5810456,0.82966965,2030.0
454,-0.5783201,0.8328245,2040.0
455,-0.5767852,0.8363259,2050.0
456,-0.5752205,0.8393428,2060.0
457,-0.5725047,0.8423931,2070.0
458,-0.56788075,0.84477985,2080.0
459,-0.56133527,0.8438385,2090.0
460,-0.55395865,0.8388218,2100.0
461,-0.54739636,0.8333505,2110.0
462,-0.54276234,0.8311667,2120.0
463,-0.5403163,0.8325647,2130.0
464,-0.53937215,0.8363989,2140.0
465,-0.53836286,0.8414393,2150.0
466,-0.53573096,0.84603894,2160.0
467,-0.53086853,0.8486839,2170.0
468,-0.52421266,0.84825647,2180.0
469,-0.5168562,0.8442908,2190.0
470,-0.51023954,0.83785033,2200.0
471,-0.50555086,0.8327363,2210.0
472,-0.50314647,0.8319865,2220.0
473,-0.5022293,0.83522165,2230.0
474,-0.50114745,0.84069365,2240.0
475,-0.49854913,0.8463244,2250.0
476,-0.4940828,0.8500133,2260.0
477,-0.48834985,0.8508354,2270.0
478,-0.48245233,0.84862936,2280.0
479,-0.47723928,0.8439855,2290.0
480,-0.4730703,0.8393702,2300.0
481,-0.47025332,0.8373079,2310.0
482,-0.46875215,0.8386291,2320.0
483,-0.4677394,0.843025,2330.0
484,-0.465968,0.8490828,2340.0
485,-0.46263996,0.8536293,2350.0
486,-0.45806968,0.8543459,2360.0
487,-0.45326924,0.8525074,2370.0
488,-0.4487187,0.85008204,2380.0
489,-0.4443247,0.84741235,2390.0
490,-0.44036794,0.8450837,2400.0
491,-0.43735608,0.84456635,2410.0
492,-0.43542886,0.846842,2420.0
493,-0.4340219,0.8517301,2430.0
494,-0.43220815,0.8562735,2440.0
495,-0.42944542,0.85720503,2450.0
496,-0.42570546,0.8556262,2460.0
497,-0.42133057,0.85421455,2470.0
498,-0.41676208,0.85300803,2480.0
499,-0.41247422,0.8506381,2490.0
500,-0.40899026,0.84786683,2500.0
501,-0.40686184,0.8479112,2510.0
502,-0.40617138,0.8523548,2520.0
503,-0.40593684,0.8580217,2530.0
504,-0.4048981,0.860068,2540.0
505,-0.40232593,0.85852784,2550.0
506,-0.39812157,0.85741943,2560.0
507,-0.3931119,0.8576513,2570.0
508,-0.38850114,0.85677373,2580.0
509,-0.3850594,0.8544663,2590.0
510,-0.38314584,0.85389525,2600.0
511,-0.38254258,0.85723835,2610.0
512,-0.38227376,0.8624785,2620.0
513,-0.3812922,0.86556166,2630.0
514,-0.37903765,0.86502683,2640.0
515,-0.37540862,0.8632917,2650.0
516,-0.37103045,0.8627121,2660.0
517,-0.36695483,0.8631045,2670.0
518,-0.3640858,0.8633245,2680.0
519,-0.36278036,0.86381793,2690.0
520,-0.36250636,0.8660091,2700.0
521,-0.36208346,0.86959374,2710.0
522,-0.3602981,0.872363,2720.0
523,-0.35699186,0.8729306,2730.0
524,-0.35316357,0.8720583,2740.0
525,-0.3497164,0.87128705,2750.0
526,-0.3468628,0.87156224,2760.0
527,-0.34462902,0.8723886,2770.0
